"Index","A","B","C"
02/07/2018,36.13147,14.610279,9.387506
03/07/2018,35.827702,14.770089,9.360083
05/07/2018,36.224293,14.97252,9.414928
06/07/2018,36.696819,14.894385,9.42407
09/07/2018,37.025902,14.794954,9.45149
10/07/2018,37.093403,14.816258,9.506335
11/07/2018,36.85714,14.638693,9.460633
12/07/2018,37.338104,14.752335,9.488054
13/07/2018,37.422482,14.865977,9.460633
16/07/2018,37.245289,14.959248,9.533757
17/07/2018,37.582809,14.837278,9.597741
18/07/2018,37.633434,14.844454,9.789698
19/07/2018,37.498425,13.94044,9.743993
20/07/2018,37.523743,13.847172,9.762276
23/07/2018,37.574368,13.775425,9.830132
24/07/2018,37.717815,13.86152,9.857642
25/07/2018,38.207218,13.947616,9.912663
26/07/2018,37.776882,13.839997,9.986021
27/07/2018,37.338104,13.86152,9.95851
30/07/2018,36.76432,13.646276,9.931002
31/07/2018,37.009022,13.732377,9.949341
01/08/2018,37.084965,13.703676,9.949341
02/08/2018,37.397171,13.753899,9.949341
03/08/2018,37.456238,13.775425,9.95851
06/08/2018,37.633434,13.979902,10.105229
07/08/2018,37.827511,14.112638,10.16025
08/08/2018,37.835945,14.198734,10.187757
09/08/2018,37.760006,14.148512,10.196929
10/08/2018,37.523743,14.141332,10.114399
13/08/2018,37.422482,14.263305,10.09606
14/08/2018,37.641872,14.349397,10.132738
15/08/2018,37.19466,14.292005,10.105229
16/08/2018,37.346542,14.379016,10.215268
17/08/2018,37.380295,14.292003,10.279457
20/08/2018,37.4478,14.096221,10.288628
21/08/2018,37.582809,13.896815,10.261119
22/08/2018,37.72625,13.994706,10.237202
23/08/2018,37.700939,14.067217,10.246402
24/08/2018,38.004707,13.965704,10.264798
27/08/2018,38.342228,14.103476,10.301587
28/08/2018,38.384418,14.070845,10.329181
29/08/2018,38.74725,14.081724,10.356775
30/08/2018,38.578491,14.103476,10.301587
31/08/2018,38.578491,14.154235,10.273994
04/09/2018,38.553173,14.226747,10.29239
05/09/2018,38.122841,14.183241,10.310786
06/09/2018,37.878136,14.175985,10.338379
07/09/2018,37.911888,14.204992,10.319984
10/09/2018,38.013145,14.124504,10.347578
11/09/2018,38.232536,14.139733,10.356775
12/09/2018,38.207218,13.99253,10.319984
13/09/2018,38.485672,13.931353,10.347578
14/09/2018,38.502552,13.902027,10.329181
17/09/2018,38.055332,13.638069,10.283194
18/09/2018,38.291599,13.344775,10.319984
19/09/2018,38.274723,13.264119,10.37517
20/09/2018,38.612244,13.550079,10.434216
21/09/2018,38.510986,13.388769,10.480342
24/09/2018,38.561615,13.865368,10.42499
25/09/2018,38.679745,13.711388,10.443439
26/09/2018,38.679745,13.601402,10.397313
27/09/2018,38.94976,13.740717,10.397313
28/09/2018,38.975075,13.748053,10.341959
01/10/2018,39.025703,13.871965,10.351185
02/10/2018,38.80632,13.580144,10.388089
03/10/2018,38.856941,13.425426,10.37886
04/10/2018,38.207218,13.271451,10.37886
05/10/2018,37.835945,13.205459,10.277379
08/10/2018,37.565933,13.162202,10.286604
09/10/2018,37.540619,13.088143,10.286604
10/10/2018,35.89521,13.069079,9.945255
11/10/2018,35.405804,12.97816,9.640808
12/10/2018,36.291794,13.212792,9.797645
15/10/2018,36.004902,13.227457,9.760741
16/10/2018,37.042778,13.301644,9.926805
17/10/2018,36.992149,13.398089,9.936029
18/10/2018,36.241165,13.205201,9.889902
19/10/2018,36.089283,13.427759,9.908353
22/10/2018,36.182102,13.041989,9.843774
23/10/2018,35.937397,12.945547,9.754923
24/10/2018,34.452312,12.82685,9.51429
25/10/2018,35.338306,12.908457,9.690139
26/10/2018,34.604195,12.797176,9.495779
29/10/2018,33.878529,12.685897,9.458758
30/10/2018,34.317303,12.552361,9.542057
31/10/2018,34.983906,12.596873,9.699392
01/11/2018,35.549252,12.685897,9.8012
02/11/2018,35.237045,12.711862,9.754923
05/11/2018,35.18642,12.700732,10.004813
06/11/2018,35.447994,12.708153,10.051089
07/11/2018,36.477428,12.745245,10.236193
08/11/2018,36.317108,12.652513,10.245446
09/11/2018,35.793953,12.648804,10.125129
12/11/2018,34.815147,12.574614,10.014069
13/11/2018,34.874214,12.567197,10.097364
14/11/2018,34.688576,12.530102,9.977048
15/11/2018,35.194855,12.424932,10.051089
16/11/2018,35.068287,12.349814,10.041835
19/11/2018,33.912281,12.500055,9.995559
20/11/2018,33.380688,12.162013,9.85673
21/11/2018,33.650703,12.1545,9.875241
23/11/2018,33.465069,12.131967,9.828965
26/11/2018,34.165424,12.214598,9.930772
27/11/2018,34.182297,12.192062,9.977048
28/11/2018,35.30455,12.274696,10.208426
29/11/2018,35.203297,12.327277,10.189917
30/11/2018,35.431122,12.432447,10.263957
03/12/2018,35.988029,12.620249,10.347254
04/12/2018,34.629513,12.500055,10.041835
06/12/2018,34.74625,12.387373,9.940026
07/12/2018,33.679962,12.349814,9.828965
10/12/2018,33.89138,12.432447,9.745669
11/12/2018,33.946537,12.349814,9.680884
12/12/2018,34.268261,12.379862,9.70865
13/12/2018,34.185532,12.199574,9.736414
14/12/2018,33.385815,12.049334,9.51429
17/12/2018,32.604485,11.737252,9.329187
18/12/2018,32.75156,11.524124,9.255145
19/12/2018,32.071342,11.356665,9.245892
20/12/2018,31.473854,11.143539,8.894196
21/12/2018,30.600601,10.991305,8.949726
24/12/2018,29.920382,10.998919,8.884941
26/12/2018,31.639309,12.38425,9.22738
27/12/2018,31.859922,12.171119,9.282911
28/12/2018,31.823153,12.216791,9.486525
31/12/2018,32.108109,12.369024,9.653118
02/01/2019,32.190838,12.559319,9.616096
03/01/2019,31.142937,12.490811,9.347699
04/01/2019,32.429832,12.6126,9.468014
07/01/2019,32.788326,12.749613,9.579078
08/01/2019,33.082478,12.78767,9.634606
09/01/2019,33.404202,12.825727,9.671627
10/01/2019,33.551273,12.848562,9.625352
11/01/2019,33.53289,12.833341,9.597587
