Date,Close,Open,High,Low,Vol.,Change %
22-Dec-17,2.667,2.62,2.682,2.583,68.19K,2.66%
21-Dec-17,2.598,2.654,2.669,2.568,177.65K,-1.48%
20-Dec-17,2.637,2.722,2.756,2.61,183.12K,-2.04%
19-Dec-17,2.692,2.734,2.769,2.688,219.34K,-1.93%
18-Dec-17,2.745,2.65,2.778,2.634,231.83K,5.09%
15-Dec-17,2.612,2.686,2.732,2.581,190.91K,-2.68%
14-Dec-17,2.684,2.704,2.717,2.643,205.09K,-1.14%
13-Dec-17,2.715,2.696,2.751,2.656,256.78K,1.38%
12-Dec-17,2.678,2.801,2.844,2.673,312.86K,-5.30%
11-Dec-17,2.828,2.831,2.848,2.793,196.70K,2.02%
8-Dec-17,2.772,2.769,2.82,2.757,233.77K,0.33%
7-Dec-17,2.763,2.91,2.922,2.747,392.52K,-5.44%
6-Dec-17,2.922,2.91,2.961,2.884,178.78K,0.27%
5-Dec-17,2.914,2.976,2.998,2.875,240.84K,-2.38%
4-Dec-17,2.985,3.091,3.127,2.953,238.23K,-2.48%
1-Dec-17,3.061,3.032,3.117,3.029,213.44K,1.19%
30-Nov-17,3.025,3.175,3.194,3.008,317.43K,-4.84%
29-Nov-17,3.179,3.131,3.218,3.127,230.34K,3.42%
28-Nov-17,3.074,2.947,3.102,2.945,13.12K,4.99%
27-Nov-17,2.928,2.927,2.95,2.876,56.31K,4.09%
24-Nov-17,2.813,2.961,2.986,2.797,94.88K,-3.13%
23-Nov-17,2.904,2.971,2.986,2.891,-,-2.16%
22-Nov-17,2.968,3.013,3.027,2.955,139.40K,-1.62%
21-Nov-17,3.017,3.032,3.064,3.012,133.59K,-0.98%
20-Nov-17,3.047,3.07,3.089,3.026,160.17K,-1.61%
17-Nov-17,3.097,3.072,3.134,3.059,191.29K,1.44%
16-Nov-17,3.053,3.087,3.11,3.046,186.92K,-0.88%
15-Nov-17,3.08,3.078,3.153,3.052,192.70K,-0.71%
14-Nov-17,3.102,3.141,3.149,3.064,219.94K,-2.05%
13-Nov-17,3.167,3.2,3.231,3.127,208.60K,-1.43%
10-Nov-17,3.213,3.208,3.224,3.171,179.75K,0.41%
9-Nov-17,3.2,3.152,3.217,3.152,247.73K,0.79%
8-Nov-17,3.175,3.151,3.19,3.114,210.31K,0.73%
7-Nov-17,3.152,3.125,3.176,3.088,247.52K,0.57%
6-Nov-17,3.134,3.085,3.143,3.051,267.65K,5.03%
3-Nov-17,2.984,2.935,2.998,2.93,143.21K,1.67%
2-Nov-17,2.935,2.9,2.957,2.881,184.94K,1.45%
1-Nov-17,2.893,2.906,2.929,2.847,189.88K,-0.10%
31-Oct-17,2.896,2.988,3.005,2.882,194.99K,-2.36%
30-Oct-17,2.966,2.938,3.006,2.936,124.09K,7.78%
27-Oct-17,2.752,2.899,2.899,2.723,-,-4.78%
26-Oct-17,2.89,2.929,2.941,2.867,50.11K,-0.99%
25-Oct-17,2.919,2.991,2.999,2.913,65.78K,-1.85%
24-Oct-17,2.974,2.971,3.004,2.96,112.76K,-0.57%
23-Oct-17,2.991,3.001,3.017,2.948,178.93K,2.61%
20-Oct-17,2.915,2.886,2.94,2.856,225.04K,1.46%
19-Oct-17,2.873,2.868,2.91,2.773,295.77K,0.67%
